team,player,x,y,shot_statsbomb_xg,is_goal,on_target
Netherlands,Memphis Depay,93.6,49.7,0.029451067,False,False
Netherlands,Memphis Depay,116.4,34.2,0.2959347,False,True
Netherlands,Frenkie de Jong,117.6,40.3,0.6883914,True,True
Qatar,Abdulaziz Hatem Mohammed Abdullah,94.7,53.1,0.024495702,False,True
Qatar,Pedro Miguel Correia,88.8,53.2,0.00621196,False,False
Netherlands,Steven Berghuis,102.2,59.1,0.010698183,False,False
France,Ousmane Dembélé,97.8,38.0,0.04759094,False,False
France,Adrien Rabiot,115.0,45.6,0.10936305,False,False
France,Raphaël Varane,112.4,46.9,0.0425816,False,False
France,Olivier Giroud,111.9,38.9,0.11903284,False,False
France,Adrien Rabiot,108.9,44.3,0.04225832,False,True
France,Jules Koundé,109.0,56.2,0.02881258,False,False
France,Antoine Griezmann,118.2,23.1,0.010852635,False,True
France,Aurélien Djani Tchouaméni,99.7,39.1,0.054124165,False,False
France,Ousmane Dembélé,108.2,48.0,0.046849832,False,False
France,Adrien Rabiot,100.1,24.5,0.02230111,False,False
Denmark,Andreas Evald Cornelius,107.4,55.8,0.048269883,False,False
France,Olivier Giroud,108.6,45.2,0.045027424,False,False
France,Kylian Mbappé Lottin,106.0,43.8,0.18605462,False,False
Denmark,Christian Dannemann Eriksen,83.0,42.5,0.006951803,False,False
France,Kylian Mbappé Lottin,98.6,18.5,0.011081066,False,False
France,Kylian Mbappé Lottin,104.1,30.1,0.03630777,False,True
France,Antoine Griezmann,102.6,38.8,0.21733604,False,False
France,Kylian Mbappé Lottin,110.8,31.3,0.08505598,True,True
Denmark,Joachim Andersen,112.2,43.9,0.082872435,False,False
Denmark,Andreas Christensen,113.0,37.6,0.25384808,True,True
Denmark,Jesper Lindstrøm,107.4,33.0,0.18929456,False,True
Denmark,Christian Dannemann Eriksen,93.3,45.1,0.0264413,False,False
France,Aurélien Djani Tchouaméni,113.7,37.7,0.22405402,False,False
France,Jules Koundé,110.7,40.7,0.106879756,False,False
France,Adrien Rabiot,112.7,47.3,0.080693014,False,False
Denmark,Martin Braithwaite Christensen,110.0,45.1,0.23786028,False,False
Denmark,Pierre-Emile Højbjerg,87.2,48.7,0.015153575,False,False
France,Kylian Mbappé Lottin,117.8,36.5,0.38353118,True,True
Denmark,Joachim Andersen,94.3,53.4,0.014218964,False,False
France,Kylian Mbappé Lottin,99.4,25.5,0.033781487,False,True
Denmark,Joakim Mæhle,87.5,42.4,0.013632962,False,False
Germany,Joshua Kimmich,93.0,31.2,0.022911863,False,False
Germany,Antonio Rüdiger,110.5,50.6,0.026021937,False,False
Germany,Joshua Kimmich,96.9,39.6,0.05193508,False,True
Germany,İlkay Gündoğan,99.7,29.6,0.042519,False,False
Germany,İlkay Gündoğan,94.4,42.8,0.041637745,False,True
Germany,İlkay Gündoğan,105.3,36.8,0.12241382,False,False
Germany,İlkay Gündoğan,108.0,40.0,0.7835,True,True
Germany,Serge Gnabry,93.1,48.2,0.028658802,False,False
Germany,Jamal Musiala,108.5,28.3,0.03933018,False,False
Germany,İlkay Gündoğan,93.3,39.0,0.031919174,False,True
Germany,Joshua Kimmich,97.0,42.2,0.05113006,False,False
Germany,Jamal Musiala,101.9,45.1,0.06614002,False,False
Germany,Joshua Kimmich,100.3,40.5,0.047906045,False,True
Germany,Serge Gnabry,114.3,29.9,0.21508263,False,False
Japan,Daizen Maeda,111.0,34.3,0.07710243,False,False
Germany,Serge Gnabry,108.3,57.9,0.013327111,False,False
Japan,Daichi Kamada,103.3,47.4,0.06444196,False,False
Germany,Jamal Musiala,107.2,41.0,0.15860753,False,False
Japan,Takuma Asano,114.7,49.4,0.06737846,False,False
Germany,İlkay Gündoğan,103.0,40.0,0.10696415,False,False
Japan,Takuma Asano,106.4,25.8,0.06586899,False,False
Japan,Takuma Asano,106.9,26.5,0.029970925,False,False
Japan,Ko Itakura,112.6,51.3,0.034016185,False,False
Japan,Takuma Asano,112.5,51.1,0.0360808,False,False
Germany,Jonas Hofmann,111.1,48.5,0.32657883,False,True
Germany,Serge Gnabry,103.3,57.9,0.02483029,False,True
Germany,Serge Gnabry,112.2,43.5,0.11167552,False,True
Germany,Serge Gnabry,117.7,49.5,0.0550312,False,True
Japan,Junya Ito,109.2,36.3,0.06845111,False,True
Japan,Hiroki Sakai,113.4,46.3,0.28772855,False,False
Japan,Takumi Minamino,112.8,24.4,0.013784891,False,True
Japan,Ritsu Doan,112.1,41.5,0.4777511,True,True
Germany,Antonio Rüdiger,115.5,39.4,0.18550046,False,False
Japan,Takuma Asano,117.7,50.2,0.02668418,True,True
Germany,Niclas Füllkrug,106.9,41.0,0.031593546,False,False
Germany,Antonio Rüdiger,86.2,37.2,0.017847534,False,False
Germany,Leon Goretzka,100.3,40.9,0.088851534,False,False
Germany,Niklas Süle,116.5,31.6,0.07610536,False,False
Tunisia,Youssef Msakni,92.6,52.0,0.023819994,False,False
Tunisia,Issam Jebali,114.0,54.8,0.014059674,False,False
Tunisia,Mohamed Dräger,93.4,44.5,0.033114884,False,False
Tunisia,Youssef Msakni,114.7,29.6,0.04366076,False,False
Denmark,Kasper Dolberg,115.3,32.5,0.124032564,False,False
Denmark,Joachim Andersen,99.7,30.3,0.02765422,False,True
Denmark,Pierre-Emile Højbjerg,95.4,19.0,0.008709067,False,True
Tunisia,Yassine Meriah,111.4,49.3,0.046073906,False,False
Tunisia,Aïssa Bilal Laïdouni,115.0,52.2,0.06712157,False,False
Tunisia,Issam Jebali,112.0,44.9,0.4656446,False,True
Tunisia,Ellyes Joris Skhiri,99.8,40.9,0.059586592,False,False
Tunisia,Issam Jebali,112.1,47.5,0.11338296,False,False
Tunisia,Youssef Msakni,114.7,48.7,0.07208876,False,False
