player,team,Goals,xG,Shots_On_Target,Total_Passes,Completed_Passes,Key_Passes,Defensive_Actions,Saves
Gregor Kobel,Switzerland,0.0,0.0,0.0,29.0,19.0,0.0,5.0,2.0
Grzegorz Krychowiak,Poland,0.0,0.02170277,0.0,127.0,97.0,2.0,44.0,0.0
Gue-Sung Cho,South Korea,2.0,0.71258904,5.0,60.0,39.0,1.0,16.0,0.0
Guido Rodríguez,Argentina,0.0,0.0,0.0,62.0,54.0,0.0,4.0,0.0
Guillermo Varela Olivera,Uruguay,0.0,0.0,0.0,91.0,62.0,1.0,13.0,0.0
Haitham Mohammed Asiri,Saudi Arabia,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
Haji Wright,United States,1.0,0.658172932,2.0,27.0,20.0,1.0,7.0,0.0
Hakim Ziyech,Morocco,2.0,1.095816526,3.0,300.0,210.0,7.0,56.0,0.0
Hannibal Mejbri,Tunisia,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
Haris Seferović,Switzerland,0.0,0.27028984,0.0,14.0,10.0,1.0,2.0,0.0
Harry Kane,England,2.0,2.330979943,6.0,97.0,64.0,5.0,22.0,0.0
Harry Maguire,England,0.0,0.489955663,1.0,408.0,353.0,1.0,46.0,0.0
Harry Souttar,Australia,0.0,0.06809473,0.0,163.0,135.0,1.0,47.0,0.0
Harry Wilson,Wales,0.0,0.061493684,0.0,62.0,48.0,3.0,13.0,0.0
Hassan Khalid Al Heidos,Qatar,0.0,0.015712837,1.0,77.0,63.0,2.0,17.0,0.0
Hassan Mohammed Al-Tambakti,Saudi Arabia,0.0,0.0,0.0,49.0,37.0,0.0,21.0,0.0
Hattan Babhir,Saudi Arabia,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0
Hee-Chan Hwang,South Korea,1.0,0.5679465854,5.0,57.0,46.0,1.0,14.0,0.0
Henry Josué Martín Mex,Mexico,1.0,0.6686734,2.0,22.0,15.0,4.0,5.0,0.0
Hernán Ismael Galíndez,Ecuador,0.0,0.0,0.0,77.0,44.0,0.0,13.0,1.0
Heung-Min Son,South Korea,0.0,0.453828075,3.0,122.0,84.0,6.0,19.0,0.0
