player,team,Goals,xG,Total_Passes,Successful_Passes
Kamal Miller,Canada,0.0,0.0,199.0,184.0
Kamaldeen Sulemana,Ghana,0.0,0.081227794,20.0,11.0
Kamil Glik,Poland,0.0,0.150632187,130.0,122.0
Kamil Grosicki,Poland,0.0,0.0,6.0,4.0
Kang-In Lee,South Korea,0.0,0.117975209,77.0,61.0
Kaoru Mitoma,Japan,0.0,0.837634306,73.0,54.0
Karim Ansarifard,Iran,0.0,0.06399969,6.0,5.0
Karim Boudiaf,Qatar,0.0,0.0,107.0,94.0
Karl Brillant Toko Ekambi,Cameroon,0.0,0.1803258,52.0,42.0
Karol Świderski,Poland,0.0,0.0,8.0,7.0
Kasper Dolberg,Denmark,0.0,0.511986249,18.0,17.0
Kasper Schmeichel,Denmark,0.0,0.0,87.0,72.0
Keanu Baccus,Australia,0.0,0.035468098,40.0,26.0
Kellyn Kai Perry-Acosta,United States,0.0,0.0,12.0,10.0
Kendall Jamaal Waston Manley,Costa Rica,0.0,0.099276,77.0,65.0
Kenneth Taylor,Netherlands,0.0,0.0,9.0,9.0
Kevin De Bruyne,Belgium,0.0,0.1779663248,140.0,100.0
Kevin José Rodríguez Cortez,Ecuador,0.0,0.13848205,1.0,0.0
Kevin Nahin Álvarez Campos,Mexico,0.0,0.0,24.0,18.0
Keylor Navas Gamboa,Costa Rica,0.0,0.0,101.0,55.0
Keysher Fuller Spence,Costa Rica,1.0,0.31160433,61.0,43.0
Kieffer Roberto Francisco Moore,Wales,0.0,0.6403291090000001,60.0,41.0
Kieran Trippier,England,0.0,0.042866398,195.0,165.0
Kingsley Coman,France,0.0,0.8713631399999999,70.0,54.0
Kléper Laveran Lima Ferreira,Portugal,1.0,0.33506425,295.0,252.0
Ko Itakura,Japan,0.0,0.162244075,111.0,102.0
Krystian Bielik,Poland,0.0,0.136828873,98.0,90.0
Krzysztof Piątek,Poland,0.0,0.02819521,6.0,3.0
Krépin Diatta,Senegal,0.0,0.128994183,76.0,62.0
Kye Rowles,Australia,0.0,0.0,195.0,170.0
Kyle Walker,England,0.0,0.0,177.0,159.0
Kylian Mbappé Lottin,France,9.0,5.016751877,233.0,180.0
Kyung-Won Kwon,South Korea,0.0,0.005484339,43.0,40.0
Lautaro Javier Martínez,Argentina,1.0,2.905046753,63.0,46.0
Lawrence Ati-Zigi,Ghana,0.0,0.0,76.0,51.0
Leander Dendoncker,Belgium,0.0,0.08894938,119.0,117.0
Leandro Daniel Paredes,Argentina,2.0,1.5813709569999999,240.0,227.0
